"dec","hex","ascii",,,,0,1,2,3,4,5,6,7,8,
1,"1","","1","?",,"?","","","?","","","","","","friden spd"
2,"2","","2","""",,"","?","","?","","","","","","column D: lower"
3,"3","",,,,"?","?","","?","","","","","","column E: upper"
4,"4","","4","=",,"","","?","?","","","","","",
5,"5","",,,,"?","","?","?","","","","","",
6,"6","",,,,"","?","?","?","","","","","",
7,"7","","?","?",,"?","?","?","?","","","","","",
8,"8","","0",")",,"","","","?","?","","","","",
9,"9","	",,,,"?","","","?","?","","","","",
10,"A","lf",,,,"","?","","?","?","","","","",
11,"B",""," "," ","space","?","?","","?","?","","","","",
12,"C","",,,,"","","?","?","?","","","","",
13,"D","","@@ret","@@ret","cr","?","","?","?","?","","","","",
14,"E","","'","`","geen transport","","?","?","?","?","","","","",
14,"E","","?","`","geen transport","","?","?","?","?","","","","",
15,"F","",,,,"?","?","?","?","?","","","","",
16,"10","",,,,"","","","?","","?","","","",
17,"11","",,,,"?","","","?","","?","","","",
18,"12","",,,,"","?","","?","","?","","","",
19,"13","","3",":",,"?","?","","?","","?","","","",
20,"14","",,,,"","","?","?","","?","","","",
21,"15","","5","%",,"?","","?","?","","?","","","",
22,"16","","6","*",,"","?","?","?","","?","","","",
23,"17","",,,,"?","?","?","?","","?","","","",
24,"18","",,,,"","","","?","?","?","","","",
25,"19","","@@str","@@str","stop read","?","","","?","?","?","","","",
26,"1A","",",",",",,"","?","","?","?","?","","","",
27,"1B","",,,,"?","?","","?","?","?","","","",
28,"1C","","	","	","tab","","","?","?","?","?","","","",
29,"1D","",,,,"?","","?","?","?","?","","","",
30,"1E","",,,,"","?","?","?","?","?","","","",
31,"1F","","@@swr","@@swr","switch read","?","?","?","?","?","?","","","",
32,"20"," ","7","/",,"","","","?","","","?","","",
33,"21","!",,,,"?","","","?","","","?","","",
34,"22","""",,,,"","?","","?","","","?","","",
35,"23","#","e","E",,"?","?","","?","","","?","","",
36,"24","$",,,,"","","?","?","","","?","","",
37,"25","%","g","G",,"?","","?","?","","","?","","",
38,"26","&","h","H",,"","?","?","?","","","?","","",
39,"27","'",,,,"?","?","?","?","","","?","","",
40,"28","(",,,,"","","","?","?","","?","","",
41,"29",")","a","A",,"?","","","?","?","","?","","",
42,"2A","*",,,,"","?","","?","?","","?","","",
43,"2B","+",,,,"?","?","","?","?","","?","","",
44,"2C",",",,,,"","","?","?","?","","?","","",
45,"2D","-",,,,"?","","?","?","?","","?","","",
46,"2E",".",,,,"","?","?","?","?","","?","","",
47,"2F","/",,,,"?","?","?","?","?","","?","","",
48,"30","0",,,,"","","","?","","?","?","","",
49,"31","1","c",,,"?","","","?","","?","?","","",
50,"32","2","d",,,"","?","","?","","?","?","","",
51,"33","3",,,,"?","?","","?","","?","?","","",
52,"34","4","f",,,"","","?","?","","?","?","","",
53,"35","5",,,,"?","","?","?","","?","?","","",
54,"36","6",,,,"","?","?","?","","?","?","","",
55,"37","7","@@lcs","@@lcs","lowercase","?","?","?","?","","?","?","","",
56,"38","8","b",,,"","","","?","?","?","?","","",
57,"39","9",,,,"?","","","?","?","?","?","","",
58,"3A",":",,,,"","?","","?","?","?","?","","",
59,"3B",";",,,,"?","?","","?","?","?","?","","",
60,"3C","<",,,,"","","?","?","?","?","?","","",
61,"3D","=",,,,"?","","?","?","?","?","?","","",
62,"3E",">",,,,"","?","?","?","?","?","?","","",
63,"3F","?",,,,"?","?","?","?","?","?","?","","",
64,"40","@","8","+",,"","","","?","","","","?","",
65,"41","A",,,,"?","","","?","","","","?","",
66,"42","B",,,,"","?","","?","","","","?","",
67,"43","C","n","N",,"?","?","","?","","","","?","",
68,"44","D",,,,"","","?","?","","","","?","",
69,"45","E","q","Q",,"?","","?","?","","","","?","",
70,"46","F","r","R",,"","?","?","?","","","","?","",
71,"47","G",,,,"?","?","?","?","","","","?","",
72,"48","H",,,,"","","","?","?","","","?","",
73,"49","I","j","J",,"?","","","?","?","","","?","",
74,"4A","J",,,,"","?","","?","?","","","?","",
75,"4B","K",,,,"?","?","","?","?","","","?","",
76,"4C","L",,,,"","","?","?","?","","","?","",
77,"4D","M",,,,"?","","?","?","?","","","?","",
78,"4E","N",,,,"","?","?","?","?","","","?","",
79,"4F","O",,,,"?","?","?","?","?","","","?","",
80,"50","P",,,,"","","","?","","?","","?","",
81,"51","Q","l","L",,"?","","","?","","?","","?","",
82,"52","R","m","M",,"","?","","?","","?","","?","",
83,"53","S",,,,"?","?","","?","","?","","?","",
84,"54","T","p","P",,"","","?","?","","?","","?","",
85,"55","U",,,,"?","","?","?","","?","","?","",
86,"56","V",,,,"","?","?","?","","?","","?","",
87,"57","W","@@ucs","@@ucs","uppercase","?","?","?","?","","?","","?","",
88,"58","X","k","K",,"","","","?","?","?","","?","",
89,"59","Y",,,,"?","","","?","?","?","","?","",
90,"5A","Z",,,,"","?","","?","?","?","","?","",
91,"5B","[",,,,"?","?","","?","?","?","","?","",
92,"5C","\",,,,"","","?","?","?","?","","?","",
93,"5D","]",,,,"?","","?","?","?","?","","?","",
94,"5E","^",,,,"","?","?","?","?","?","","?","",
95,"5F","_",,,,"?","?","?","?","?","?","","?","",
96,"60","`",,,,"","","","?","","","?","?","",
97,"61","a","u","U",,"?","","","?","","","?","?","",
98,"62","b","v","V",,"","?","","?","","","?","?","",
99,"63","c",,,,"?","?","","?","","","?","?","",
100,"64","d","x","X",,"","","?","?","","","?","?","",
101,"65","e",,,,"?","","?","?","","","?","?","",
102,"66","f",,,,"","?","?","?","","","?","?","",
103,"67","g","@@pof","@@pof","punch off","?","?","?","?","","","?","?","",
104,"68","h","t","T",,"","","","?","?","","?","?","",
