"dec","hex","ascii",,,,0,1,2,3,4,5,6,7,8
1,"1","",,,,"?","","","?","","","","",""
2,"2","",,,,"","?","","?","","","","",""
3,"3","",,,,"?","?","","?","","","","",""
4,"4","",,,,"","","?","?","","","","",""
5,"5","",,,,"?","","?","?","","","","",""
6,"6","",,,,"","?","?","?","","","","",""
7,"7","",,,,"?","?","?","?","","","","",""
8,"8","",,,,"","","","?","?","","","",""
9,"9","	",,,,"?","","","?","?","","","",""
10,"A","CR",,,,"","?","","?","?","","","",""
11,"B","",,,"space","?","?","","?","?","","","",""
12,"C","",,,,"","","?","?","?","","","",""
13,"D","",,,"cr","?","","?","?","?","","","",""
14,"E","",,,"geen transport","","?","?","?","?","","","",""
15,"F","",,,,"?","?","?","?","?","","","",""
16,"10","",,,,"","","","?","","?","","",""
17,"11","",,,,"?","","","?","","?","","",""
18,"12","",,,,"","?","","?","","?","","",""
19,"13","",,,,"?","?","","?","","?","","",""
20,"14","",,,,"","","?","?","","?","","",""
21,"15","",,,,"?","","?","?","","?","","",""
22,"16","",,,,"","?","?","?","","?","","",""
23,"17","",,,,"?","?","?","?","","?","","",""
24,"18","",,,,"","","","?","?","?","","",""
25,"19","",,,"stop read","?","","","?","?","?","","",""
26,"1A","",,,,"","?","","?","?","?","","",""
27,"1B","",,,,"?","?","","?","?","?","","",""
28,"1C","",,,"tab","","","?","?","?","?","","",""
29,"1D","",,,,"?","","?","?","?","?","","",""
30,"1E","",,,,"","?","?","?","?","?","","",""
31,"1F","",,,"switch read","?","?","?","?","?","?","","",""
32,"20"," ","000000",,,"","","","?","","","?","",""
33,"21","!","00e800",,,"?","","","?","","","?","",""
34,"22","""",,,,"","?","","?","","","?","",""
35,"23","#",,,,"?","?","","?","","","?","",""
36,"24","$",,,,"","","?","?","","","?","",""
37,"25","%",,,,"?","","?","?","","","?","",""
38,"26","&",,,,"","?","?","?","","","?","",""
39,"27","'","c000",,,"?","?","?","?","","","?","",""
40,"28","(","708800",,,"","","","?","?","","?","",""
41,"29",")","887000",,,"?","","","?","?","","?","",""
42,"2A","*",,,,"","?","","?","?","","?","",""
43,"2B","+",,,,"?","?","","?","?","","?","",""
44,"2C",",","081800",,,"","","?","?","?","","?","",""
45,"2D","-",,,,"?","","?","?","?","","?","",""
46,"2E",".","1800",,,"","?","?","?","?","","?","",""
47,"2F","/","1870e000",,,"?","?","?","?","?","","?","",""
48,"30","0","7098a8c87000",,,"","","","?","","?","?","",""
49,"31","1","48f80800",,,"?","","","?","","?","?","",""
50,"32","2","b8a8e800",,,"","?","","?","","?","?","",""
51,"33","3","a8a8f800",,,"?","?","","?","","?","?","",""
52,"34","4","e020f800",,,"","","?","?","","?","?","",""
53,"35","5","e8a8b800",,,"?","","?","?","","?","?","",""
54,"36","6","f8a8b800",,,"","?","?","?","","?","?","",""
55,"37","7","8080f800",,"lowercase","?","?","?","?","","?","?","",""
56,"38","8","f888f800",,,"","","","?","?","?","?","",""
57,"39","9","e8a8f800",,,"?","","","?","?","?","?","",""
58,"3A",":",,,,"","?","","?","?","?","?","",""
59,"3B",";",,,,"?","?","","?","?","?","?","",""
60,"3C","<","20508800",,,"","","?","?","?","?","?","",""
61,"3D","=","50505000",,,"?","","?","?","?","?","?","",""
62,"3E",">","88502000",,,"","?","?","?","?","?","?","",""
63,"3F","?","4080a8c000",,,"?","?","?","?","?","?","?","",""
64,"40","@",,,,"","","","?","","","","?",""
65,"41","A","78a0a07800",,,"?","","","?","","","","?",""
66,"42","B","f8a8a87000",,,"","?","","?","","","","?",""
67,"43","C","7088888800",,,"?","?","","?","","","","?",""
68,"44","D","f888887000",,,"","","?","?","","","","?",""
69,"45","E","f8a8a8a800",,,"?","","?","?","","","","?",""
70,"46","F","f8a0a0a000",,,"","?","?","?","","","","?",""
71,"47","G","7088a8b000",,,"?","?","?","?","","","","?",""
72,"48","H","f82020f800",,,"","","","?","?","","","?",""
73,"49","I","0088f88800",,,"?","","","?","?","","","?",""
74,"4A","J","908888f000",,,"","?","","?","?","","","?",""
75,"4B","K","f820508800",,,"?","?","","?","?","","","?",""
76,"4C","L","f808080800",,,"","","?","?","?","","","?",""
77,"4D","M","f8402040f800",,,"?","","?","?","?","","","?",""
78,"4E","N","f8402010f800",,,"","?","?","?","?","","","?",""
79,"4F","O","7088887000",,,"?","?","?","?","?","","","?",""
80,"50","P","f890906000",,,"","","","?","","?","","?",""
81,"51","Q","7088987800",,,"?","","","?","","?","","?",""
